,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
523,chlortétracycline ou tétracycline,pommade ophtalmique,1%,,Senegal,,
524,fluorescéine,collyre,1%,,Senegal,,
526,néomycine + polymyxine,collyre,340.000ui+1mui,,Senegal,,
527,norfloxacine,collyre,"0,30%",,Senegal,,
530,hydrocortisone 1% collyre + +,,,,Senegal,,
531,"indométacine 0,10% collyre + + + indocollyre",,,,Senegal,,
532,oxybuprocaïne,collyre,40mg,,Senegal,,
533,lidocaine 2% + adrénaline inj,injectable,,,Senegal,,
534,lignocaine hcl plain,injectable,2%/ 20ml,,Senegal,,
535,amethocaine hydrochoride,injectable,"0,5%/10ml",,Senegal,,
536,tétracaïne,collyre,"0,005",,Senegal,,
537,acétazolamide,comprimé,250mg,,Senegal,,
539,brinzolamide,collyre,10mg/ml,,Senegal,,
540,cartéolol,collyre,15mg,,Senegal,,
541,pilocarpine,collyre,2%,,Senegal,,
542,timolol,collyre,"0,25%",,Senegal,,
543,latanoprost,collyre,"0,50%",,Senegal,,
548,"tropicamide + phénylephrine 5ml 0,8%+5%",collyre,,,Senegal,,
549,visqueux en seringue pré rempli,,2%,,Senegal,,
550,gentamycine 80mg 2ml,injectable,80mg/2ml,,Senegal,,
551,dexaméthasone 8mg 2ml,injectable,8mg/2ml,,Senegal,,
553,cyclopentolate,collyre,"0,50%",,Senegal,,
554,tropicamide,collyre,5mg/ml,,Senegal,,
555,picloxydine,collyre,5mg,,Senegal,,
556,carbomère 980 (larmes artificielles),gel ophtalmique,10mg,,Senegal,,
557,cromoglycate,collyre,7mg,,Senegal,,
558,lévocabastine,collyre,"2,5mg",,Senegal,,
561,ranibizumab,solution pour injection intravitréenne,10mg/ml,,Senegal,,
562,acide ascorbique,comprimé,500mg,,Senegal,,
564,calcium gluconate,injectable,10%,,Senegal,,
565,calcium vit d3,comprimé,500/400 ui,,Senegal,,
567,pyridoxine 250mg/5ml injectable + + + vit b6,,,,Senegal,,
568,rétinol 100.000ui capsules + + + + + vit a,,,,Senegal,,
569,rétinol 200.000ui capsules + + + + + vit a,,,,Senegal,,
570,eau pour préparation injectable,,,,Senegal,,
571,glimépiride,comprimé,2 mg,,Senegal,,
573,gliclazide,comprimé,60 mg,,Senegal,,
574,insuline mixte 30%,injectable,100ui,,Senegal,,
575,insuline lente,injectable,100ui,,Senegal,,
576,insuline rapide,injectable,100ui,,Senegal,,
577,metformine,comprimé,500mg,,Senegal,,
579,gliclazide /metformine,comprimé,60/850 mg,,Senegal,,
581,carbimazole,comprimé,5mg,,Senegal,,
583,cortisone,comprimé,5mg,,Senegal,,
584,cyprotérone,comprimé,50mg,,Senegal,,
585,progesterone,ovule,200 mg,,Senegal,,
586,bicalutamide,comprimé,50mg,,Senegal,,
588,goséréline,injectable,"3,6 mg",,Senegal,,
589,lévothyroxine,comprimé,50µg,,Senegal,,
591,cabergoline,comprimé,"0,5 mg",,Senegal,,
592,bléomycine,injectable,15mg,,Senegal,,
593,carboplatine,injectable,450mg,,Senegal,,
595,chlormétine,injectable,10mg,,Senegal,,
596,cisplatine,injectable,10mg,,Senegal,,
599,cyclophosphamide,injectable,500mg,,Senegal,,
602,doxorubicine,injectable,10mg ;50mg,,Senegal,,
603,epirubicine,injectable,20mg ; 50mg,,Senegal,,
604,etoposide,comprimé,100mg,,Senegal,,
605,fluorouracil,injectable,500mg/ml,,Senegal,,
606,hydroxycarbamide,comprimé,500mg,,Senegal,,
607,melphalan,comprimé,2mg,,Senegal,,
609,méthotrexate,injectable,50mg/ml,,Senegal,,
612,ledertrexate,injectable,5mg,,Senegal,,
615,paclitaxel,injectable,30mg,,Senegal,,
617,tamoxifène,comprimé,20mg,,Senegal,,
618,vinblastine,injectable,10mg,,Senegal,,
619,vincristine,injectable,1mg,,Senegal,,
621,bevacizumab,injectable,400mg,,Senegal,,
622,trastuzumab,injectable,150mg,,Senegal,,
623,rituximab,injectable,100mg,,Senegal,,
625,capecitabine,injectable,500mg,,Senegal,,
626,ibandronate,injectable,50mg,,Senegal,,
628,filgrastim,injectable,300µg,,Senegal,,
629,acide zolédronique,perfusion,4mg,,Senegal,,
630,triptoréline,injectable,"0,1 mg",,Senegal,,
631,folinate de calcium,injectable,50mg,,Senegal,,
633,actinomycine d,injectable,"0,5mg",,Senegal,,
634,pemetrexed,injectable,100mg,,Senegal,,
636,thalidomide,comprimé,50mg,,Senegal,,
637,fluoro-5 uracil,injectable,250mg,,Senegal,,
639,anastrozole,comprimé,1mg,,Senegal,,
640,gemcitabine,injectable,200mg,,Senegal,,
642,letrozole,comprimé,"2,5mg",,Senegal,,
643,sunitinib,gélule,"12,5mg",,Senegal,,
644,azacitidine,injectable,100mg,,Senegal,,
645,mercaptopurine,comprimé,50mg,,Senegal,,
646,thioguanine,comprimé,40mg,,Senegal,,
647,cytarabine,injectable,100mg,,Senegal,,
648,ifosfamide,injectable,1g,,Senegal,,
650,oxaliplatine,injectable,50mg,,Senegal,,
652,dacarbazine,injectable,500mg,,Senegal,,
654,témozolomide,gélule,100mg,,Senegal,,
655,irinotécan,injectable,100mg,,Senegal,,
658,topotécan,injectable,4mg,,Senegal,,
659,daunorubicine,injectable,50mg,,Senegal,,
660,vinorelbine,,50mg,,Senegal,,
662,l asparaginase,injectable,10.000unités,,Senegal,,
663,pegfilgastrim,injectable,6mg,,Senegal,,
664,mesna,injectable,1g,,Senegal,,
665,fludarabine,injectable,50mg,,Senegal,,
666,busulphan,injectable,60mg,,Senegal,,
667,chorambucil,comprimé,2mg,,Senegal,,
669,bendamustine,injectable,"2,5mg",,Senegal,,
670,carmustine,injectable,100mg,,Senegal,,
671,procarbazine,gélule,50mg,,Senegal,,
672,docetaxel,,80mg,,Senegal,,
674,bortézomib,injectable,"3,5mg",,Senegal,,
675,idarubicine,injectable,5mg,,Senegal,,
676,brentuximab vedotin,injectable,50mg,,Senegal,,
677,daratumumab,injectable,20mg,,Senegal,,
678,lénalidomide,gélule,25mg,,Senegal,,
679,ciclosporine,comprimé,50mg,,Senegal,,
680,trétinoïne,gélule,10mg,,Senegal,,
681,arsénic trrioxyde,injectable,10mg,,Senegal,,
682,atézolizumab,injectable,1200mg,,Senegal,,
683,pembrolizumab,injectable,50mg,,Senegal,,
685,erlotinib,injectable,150mg,,Senegal,,
686,chloraminophène,comprimé,2mg,,Senegal,,
687,acides aminés essentiels,perfusion,,,Senegal,,
688,acides gras essentiels,perfusion,,,Senegal,,
689,complexe vitaminique,perfusion,,,Senegal,,
690,"mélange ternaire (protide, glucide, lipide)",perfusion,,,Senegal,,
691,oligo-éléments,perfusion,,,Senegal,,
692,fénoxazoline,goutte auriculaire,15mg/flacon,,Senegal,,
693,phénazone + lidocaïne,goutte auriculaire,(4g/1g)/100g,,Senegal,,
695,ethinylestradiol+levonorgestrel+f umarate ferreux,comprimé,"0,03mg/0,15mg /75mg",,Senegal,,
696,levonorgestrel,comprimé,"0,75mg",,Senegal,,
699,etonogestrel,implant/1batonne t,68mg,,Senegal,,
701,acétate médroxyprogestérone,injectable,150mg,,Senegal,,
702,anneau vaginal a progestérone,anneau,2g,,Senegal,,
704,bicarbonate,,1g ; 500mg,,Senegal,,
705,calciférol,,"0,25µg ; 0,5µg ; 1µg ;",,Senegal,,
706,carbonate de calcium,,1g,,Senegal,,
707,cyclosporine,comprimé,25mg,,Senegal,,
710,cinacalcet,,120mg,,Senegal,,
713,prednisolone,comprimé,20mg,,Senegal,,
715,methylprednisolone,,80mg,,Senegal,,
717,methoxy polyéthyléne glycol epoeitine beta,,50µg,,Senegal,,
718,cholecalciferol,,100000 ui,,Senegal,,
720,fer carboxymaltose,injectable,1000 mg,,Senegal,,
721,fer saccharose,injectable,100 mg,,Senegal,,
722,micophénolate mofétil,,1g,,Senegal,,
723,alphacalcidiol,comprimé,"0,25mcg; 0,5,1 mcg",,Senegal,,
724,chorure de sodium,injectable,1g,,Senegal,,
727,sévélamer chlorhydrate,,400mg,,Senegal,,
728,azathioprine,comprimé,50mg,,Senegal,,
729,basiliximab,inj,20mg,,Senegal,,
733,solution de conservation d'organes,solution,poche de 5litres,,Senegal,,
734,tacrolimus,comprimé,"0,5mg",,Senegal,,
738,interferon pegyle,injectable,,,Senegal,,
739,thymoglobuline,injectable,25 mg /5ml,,Senegal,,
740,alfuzosine,comprimé,5mg,,Senegal,,
742,levodopa/ benserazide chlorhydrate,comprimé,"50 mg / 12,5 mg",,Senegal,,
745,donepézil chlorhydrate,,10mg,,Senegal,,
747,extrait de ginko biloba,,40mg,,Senegal,,
748,piracétam,comprimé,800mg,,Senegal,,
749,goniosol,,,,Senegal,,
750,gaze pièce,,,,Senegal,,
751,catheter 16g,,,,Senegal,,
752,catheter 18g,,,,Senegal,,
753,catheter 20 g,,,,Senegal,,
754,catheter 22 g,,,,Senegal,,
755,catheter 24 g,,,,Senegal,,
756,gant de chirurgie,,,,Senegal,,
757,gant d'examen latex,,,,Senegal,,
758,garrot,,,,Senegal,,
759,eugenol fl/250ml,,,,Senegal,,
760,pharmaéthyl fl/210g,,,,Senegal,,
761,rocklès solution,,,,Senegal,,
762,détartrine 45g,,,,Senegal,,
0,amiklin,injectable,500mg,,Senegal,,
2,clamoxyl,comprimé,1 g,,Senegal,,
5,augmentin,sachet,"500mg/62,5mg",,Senegal,,
7,totapen,injectable,1g,,Senegal,,
8,zithromax,comprimé,500mg,,Senegal,,
9,extenlliline,injectable,"2,4mui",,Senegal,,
10,extencilline,injectable,"1,2mui",,Senegal,,
11,pénig,injectable,1mui,,Senegal,,
12,céfacidal,injectable,1g,,Senegal,,
13,oroken,comprimé,200mg,,Senegal,,
15,claforan,injectable,1 g,,Senegal,,
16,rocéphine,injectable,1g,,Senegal,,
17,cifran,comprimé,250mg,,Senegal,,
18,ciproxin,injectable,200mg,,Senegal,,
21,vibra,comprimé,100mg,,Senegal,,
22,ery,comprimé,500mg,,Senegal,,
23,gentalline,injectable,80mg/2ml,,Senegal,,
24,bristopen,injectable,1g,,Senegal,,
25,staphypen,suspension buvable,250mg/5ml,,Senegal,,
29,ospen,comprimé,1000000 ui,,Senegal,,
30,bactrim,comprimé,400mg/80mg,,Senegal,,
33,vanco,injectable,500mg,,Senegal,,
34,thiophénic ol,injectable,750mg,,Senegal,,
35,bacqure,injectable,500mg/500mg,,Senegal,,
38,zinnat,injectable,750mg,,Senegal,,
40,myambutol,comprimé,400mg,,Senegal,,
41,trecator,comprimé,250mg,,Senegal,,
42,rimifon,comprimé,300mg,,Senegal,,
43,tavanic,comprimé,250mg,,Senegal,,
44,pirilène,comprimé,400mg,,Senegal,,
45,lampréne,comprimé,100mg,,Senegal,,
49,zyvoxid,comprimé,600 mg,,Senegal,,
66,lamprène,capsule molle,50mg et 100mg,,Senegal,,
67,disulone,comprimé,100mg,,Senegal,,
68,rimactan,gélule,300mg,,Senegal,,
69,asaq,comprimé,"25 mg/67,5mg; b/3cp",,Senegal,,
73,coartem,comprimé,20mg/120mg; b18cp,,Senegal,,
77,duocotexci n,comprimé,40mg/320mg; b/9cp,,Senegal,,
78,artesun,injectable,30mg/ml,,Senegal,,
80,artemedine,injectable,80mg/ml,,Senegal,,
81,plasmotrim,suppositoire,100mg,,Senegal,,
82,fansidar,comprimé,500mg/25mg,,Senegal,,
83,spaq-co,comprimé,500mg/25mg + 153mg,,Senegal,,
85,quinimax,injectable,400mg,,Senegal,,
87,flagyl,comprimé,500mg,,Senegal,,
92,ambisome,injectable,50mg,,Senegal,,
93,fungizone,comprimé,250mg,,Senegal,,
95,triflucan,comprimé,100mg,,Senegal,,
98,griséfuline,comprimé,250mg,,Senegal,,
100,nizoral,comprimé,200mg,,Senegal,,
101,mycostatin e,comprimé gynécologique,100.000ui,,Senegal,,
102,lamisil,comprimé,250mg,,Senegal,,
103,zentel,comprimé,400mg,,Senegal,,
106,vermox,comprimé,100mg,,Senegal,,
109,mectizan,comprimé,3mg,,Senegal,,
110,biltricide,comprimé,600mg,,Senegal,,
111,zovirax,comprimé,200mg,,Senegal,,
113,zélitrex,comprimé,500mg,,Senegal,,
114,cymévan,injectable,500mg,,Senegal,,
115,viread,comprimé,300mg,,Senegal,,
116,solvaldi,comprimé,400mg,,Senegal,,
124,sustiva,comprimé,200mg,,Senegal,,
125,reyataz,comprimé,300mg/100mg,,Senegal,,
126,prezista,comprimé,600mg,,Senegal,,
128,kaletra,comprimé,200mg/50mg,,Senegal,,
132,norvir,comprimé,100mg,,Senegal,,
137,isentress,comprimé,400mg,,Senegal,,
138,tivicay,comprimé,50mg,,Senegal,,
146,sévorane,injectable,2mg/ml,,Senegal,,
148,kétalar,injectable,50mg,,Senegal,,
149,diprivan,injectable,20mg/ml,,Senegal,,
150,hypnomida te,injectable,20mg/10ml,,Senegal,,
151,valium,injectable,10mg/ml,,Senegal,,
152,hypnovel,injectable,5mg/ml,,Senegal,,
154,pentothal,injectable,1g,,Senegal,,
156,droleptan,injectable,"2,5mg/ml",,Senegal,,
157,marcaïne,injectable,"0,50%",,Senegal,,
159,xylocaïne,injectable,2%,,Senegal,,
163,naropeine,injectable,2mg/ml,,Senegal,,
165,atropine faure,injectable,"0,25mg",,Senegal,,
168,prostigmin e,injectable,"0,5mg/ml",,Senegal,,
169,célocurine,injectable,10mg/ml,,Senegal,,
170,esmeron,injectable,10mg/ml,,Senegal,,
172,norcuron,injectable,10mg,,Senegal,,
173,tracrium,injectable,50mg/ml,,Senegal,,
176,sufenta,injectable,10µmg/2ml,,Senegal,,
178,nubain,injectable,20mg/2ml,,Senegal,,
179,acupam,injectable,20mg/2ml,,Senegal,,
180,trabar,injectable,100mg/2ml,,Senegal,,
181,aspégic,injectable,"1,8g",,Senegal,,
185,aspirine,comprimé,500mg,,Senegal,,
186,ponstyl,comprimé,250mg,,Senegal,,
187,nifluril,3% pommade,,,Senegal,,
188,brufen,comprimé,400mg,,Senegal,,
189,advil,sirop,100mg/5ml,,Senegal,,
190,indocid,comprimé,25mg,,Senegal,,
191,profénid,injectable,100mg/2ml,,Senegal,,
192,voltarène,comprimé,50mg,,Senegal,,
193,doliprane,comprimé,500mg,,Senegal,,
195,perfalgan,injectable,1g,,Senegal,,
197,cortancyl,comprimé,5mg,,Senegal,,
199,temgésic,comprimé perlingual,"0,2mg",,Senegal,,
201,skenan,comprimé,10mg,,Senegal,,
204,actiskenan,comprimé,10mg,,Senegal,,
209,+ méthadone,gélule,5mg,,Senegal,,
212,zyrtec,comprimé,10mg,,Senegal,,
213,soludécadr on,injectable,4mg,,Senegal,,
214,polaramine,comprimé,2mg,,Senegal,,
216,hydrocorti sone,injectable,500mg,,Senegal,,
217,hydrocortis one,injectable,100mg,,Senegal,,
218,solumédrol,injectable,40mg/ml,,Senegal,,
219,phénergan,injectable,50mg/ml,,Senegal,,
222,carbophos,comprimé,500mg,,Senegal,,
223,espéral,comprimé,500mg,,Senegal,,
224,anexate,injectable,"0,5mg/ml",,Senegal,,
225,fluimicil,injectable,5g/25ml,,Senegal,,
226,narcan,injectable,"0,4mg/ml",,Senegal,,
227,contrathio n,injectable,200mg,,Senegal,,
229,desferal,injectable,500mg,,Senegal,,
230,glucagen,injectable,1mg/ml,,Senegal,,
231,protamine choay,injectable,1000 uah/ml,,Senegal,,
234,succicaptal,capsule orale,100mg,,Senegal,,
236,dépakine,comprimé,200mg,,Senegal,,
240,laroxyl,gouttes orales,40mg/ml,,Senegal,,
241,tégrétol,comprimé,200mg,,Senegal,,
242,largactil,comprimé,100mg,,Senegal,,
244,rivotril,gouttes,2mg,,Senegal,,
249,dihydan,solution buvable,30mg/5ml,,Senegal,,
251,modécate,injectable,25mg/ml,,Senegal,,
253,haldol,"0,50% gouttes orales",,,Senegal,,
255,nozinan,comprimé,100mg,,Senegal,,
257,gardénal,comprimé,100mg,,Senegal,,
260,artane,"0,40% gouttes",,,Senegal,,
262,lepticur,injectable,10mg/2ml,,Senegal,,
264,foldine,comprimé,5mg,,Senegal,,
266,déférasirox,comprimé,125mg,,Senegal,,
269,vitamine b12,injectable,1mg,,Senegal,,
270,eprex,injectable,"2000ui/0,5ml",,Senegal,,
275,néorecorm on,injectable,"50µg/0,3ml",,Senegal,,
280,néorecor mon,injectable,"50µg/0,3ml",,Senegal,,
283,folifer,comprimé,"60mg/0,4mg",,Senegal,,
284,fumafer,comprimé,80mg,,Senegal,,
289,dicynone,comprimé,500mg,,Senegal,,
291,cytotec,comprimé,200 µg,,Senegal,,
292,exacyl,ampoule buvable,1g,,Senegal,,
295,vitamine k1,solution acqueuse injectable et buvable,"2mg/0,2ml",,Senegal,,
297,préviscan,comprime,20mg,,Senegal,,
298,sintrom,comprimé,4mg,,Senegal,,
299,mini- sintrom,comprimé,1mg,,Senegal,,
300,rixa,comprimé,10mg,,Senegal,,
301,lovenox,injectable,2000 ui anti xa,,Senegal,,
306,calciparine,injectable,250ui/ml,,Senegal,,
307,héparine sodique,injectable,25000ui/5ml,,Senegal,,
308,streptase,injectable,1.500.000ui,,Senegal,,
309,actilise,injectable,100mg,,Senegal,,
310,metalyse,injectable,10 000 u/10 ml,,Senegal,,
311,plavix,comprimé,75mg,,Senegal,,
312,brilique,comprimé,90mg,,Senegal,,
313,zyloric,comprimé,100mg,,Senegal,,
315,haemacel,perfusion,,,Senegal,,
325,voluven,perfusion,,,Senegal,,
328,tildiem,comprimé,60mg,,Senegal,,
330,risordan,injectable,10mg/10ml,,Senegal,,
333,trinitrine nitroderm,spray patch,"0,15mg 5mg",,Senegal,,
334,nitroderm,patch,10mg,,Senegal,,
335,aldactazine,comprimé,15mg/25mg,,Senegal,,
336,amlor,gélules,10mg,,Senegal,,
338,cardiocor,comprimé,5mg,,Senegal,,
342,coversyl,comprime,5mg,,Senegal,,
344,triatec,comprime,"2,5mg",,Senegal,,
346,tareg,comprime,80mg,,Senegal,,
348,atacand,comprime,8mg,,Senegal,,
350,catapressa n,injectable,"0,15mg",,Senegal,,
351,lasilix,comprimé,40mg,,Senegal,,
355,esidrex,comprimé,25mg,,Senegal,,
356,fludex,comprimé,"1,25mg",,Senegal,,
358,aldomet,comprimé,250mg,,Senegal,,
360,trandate,injectable,5mg,,Senegal,,
361,loxen,injectable,10mg/10ml,,Senegal,,
363,loxen lp,gélule,50mg,,Senegal,,
364,adalate retard,comprimé,20mg,,Senegal,,
365,avlocardyl,injectable,5mg/5ml,,Senegal,,
367,aldactone,comprimé,75mg,,Senegal,,
385,cordarone,comprimé,200mg,,Senegal,,
390,hémidigoxi ne,comprimé,"0,125mg",,Senegal,,
392,norépinéph rine,injectable,2ml/ml,,Senegal,,
393,dobutrex,injectable,250mg/ml,,Senegal,,
394,adrénaline,injectable,"0,25mg/ml",,Senegal,,
401,tahor,comprimé,10 mg,,Senegal,,
403,crestor,comprimé,10 mg,,Senegal,,
405,ezetrol,comprimé,10 mg,,Senegal,,
406,pévaryl,crème,1%,,Senegal,,
410,betnéval,crème,"0,10%",,Senegal,,
411,dermoval,crème,"0,05%",,Senegal,,
412,cortapaisyl,crème,1%,,Senegal,,
413,bactroban,2% pommade,,,Senegal,,
414,alcol iodé,solution,,,Senegal,,
415,eosine,solution,"0,02",,Senegal,,
416,formol,liquide,1g,,Senegal,,
417,eau de javel,solution,8°cf,,Senegal,,
418,dakin,solution,500mg/100ml de cl actif,,Senegal,,
419,bétadine,solution,10%,,Senegal,,
421,+,gel,"7 , 10%",,Senegal,,
423,ascabiol,solution,"12,50%",,Senegal,,
426,coltramyl,comprimé,4mg,,Senegal,,
427,syntocinon,injectable,5ui,,Senegal,,
428,pabal,injectable,100 mcg/ml,,Senegal,,
429,ventoline,injectable,"0,5mg",,Senegal,,
431,salbumol,suppositoire,1mg,,Senegal,,
432,célestène,injectable,4mg,,Senegal,,
433,tagamet,injectable,200mg/2ml,,Senegal,,
434,mopral,injectable,40 mg,,Senegal,,
437,maalox,comprimé,400mg/400mg,,Senegal,,
438,kytril,injectable,3mg,,Senegal,,
440,zophren,comprimé,8 mg,,Senegal,,
441,vogalène,suppositoire,5 mg,,Senegal,,
444,dislep,comprimé,25mg,,Senegal,,
447,anti- hémorroïda ire,pommade,100g,,Senegal,,
449,spasfon,injectable,"40mg/0,04mg par 4ml",,Senegal,,
451,lansoyl,gelée buvable,215g/225g,,Senegal,,
452,duphalac,suspension buvable,10 g,,Senegal,,
454,sro,poudre en sachet,"glucose 13,5g/l ; nacl 2,6g/l; kcl 1,5 g/l, citrate trisodique dihydraté 2,9g/l",,Senegal,,
456,rhinathiol,sirop,5%,,Senegal,,
458,néocodion,comprimé,100mg/5mg,,Senegal,,
459,drill,sirop,"1,5mg/ml",,Senegal,,
460,kofof,sirop,15 mg / 5 ml,,Senegal,,
461,toplexil,sirop,"(1,65mg/33,3m g)/ml",,Senegal,,
468,bricanyl,injectable,"0,5mg/ml",,Senegal,,
472,pulmicor t,nebulisation,"0,5 mg /2ml",,Senegal,,
475,seretide seretide,diskus diskus,500 mg/50 microns 250 mg/50 microns,,Senegal,,
476,atrovent,nebulisation,"o,5 mg",,Senegal,,
486,immunho ro,injectable,,,Senegal,,
491,inoserp,injectable,,,Senegal,,
510,uro 3000,perfusion,9%o,,Senegal,,
521,biocidan,collyre,"0,25%",,Senegal,,
522,cébédexac ol,collyre,,,Senegal,,
523,auréomyci ne,pommade ophtalmique,1%,,Senegal,,
526,cébémyxin e,collyre,340.000ui+1mui,,Senegal,,
527,chibroxine,collyre,"0,30%",,Senegal,,
528,désocort,collyre,"0,10%",,Senegal,,
532,cébésine,collyre,40mg,,Senegal,,
537,diamox,comprimé,250mg,,Senegal,,
539,azopt,collyre,10mg/ml,,Senegal,,
540,cartéol,collyre,15mg,,Senegal,,
542,timoptol,collyre,"0,25%",,Senegal,,
543,xalatan,collyre,"0,50%",,Senegal,,
548,mydrane,collyre,,,Senegal,,
553,skiacol,collyre,"0,50%",,Senegal,,
554,mydriaticu m,collyre,5mg/ml,,Senegal,,
555,vitabact,collyre,5mg,,Senegal,,
556,lacrigel,gel ophtalmique,10mg,,Senegal,,
557,cromoptic,collyre,7mg,,Senegal,,
558,lévophta,collyre,"2,5mg",,Senegal,,
559,fluorescein e,collyre,2mg,,Senegal,,
561,lucentis,solution pour injection intravitréenne,10mg/ml,,Senegal,,
562,vit c,comprimé,500mg,,Senegal,,
565,calc vita,comprimé,500/400 ui,,Senegal,,
566,vit b12,injectable,1mg/2ml,,Senegal,,
571,amarel,comprimé,2 mg,,Senegal,,
573,diamicro n,comprimé,60 mg,,Senegal,,
574,mixtard,injectable,100ui,,Senegal,,
575,insulatard,injectable,100ui,,Senegal,,
576,actrapid,injectable,100ui,,Senegal,,
577,glucophag e,comprimé,500mg,,Senegal,,
579,glide-m,comprimé,60/850 mg,,Senegal,,
581,néo mercazole,comprimé,5mg,,Senegal,,
584,androcur,comprimé,50mg,,Senegal,,
586,casodex,comprimé,50mg,,Senegal,,
588,zoladex,injectable,"3,6 mg",,Senegal,,
589,l-thyroxine,comprimé,50µg,,Senegal,,
591,dostinex,comprimé,"0,5 mg",,Senegal,,
595,caryolysine,injectable,10mg,,Senegal,,
596,cisplatyl,injectable,10mg,,Senegal,,
599,endoxan,injectable,500mg,,Senegal,,
602,adriblastin e,injectable,10mg ;50mg,,Senegal,,
603,farmorubic ine,injectable,20mg ; 50mg,,Senegal,,
604,vépéside,comprimé,100mg,,Senegal,,
605,fluracil,injectable,500mg/ml,,Senegal,,
606,hydréa,comprimé,500mg,,Senegal,,
607,alkéran,comprimé,2mg,,Senegal,,
609,méthotrexa te,injectable,50mg/ml,,Senegal,,
615,taxol,injectable,30mg,,Senegal,,
617,nolvadex,comprimé,20mg,,Senegal,,
619,oncovin,injectable,1mg,,Senegal,,
621,avastin,injectable,400mg,,Senegal,,
622,herceptin,injectable,150mg,,Senegal,,
